City,State,Total Estimate,Married Households,Male Unmarried Household,Female Unmarried Household,Nonfamily Household
O'Fallon,Missouri,34412,20673,1885,3159,8695
St. Louis,Missouri,139736,31536,6151,21260,80789
Passaic,New Jersey,20446,7551,822,7018,5055
Nashua,New Hampshire,36986,16347,2057,4264,14318
Rochester,Minnesota,49984,23578,1498,4250,20658
Paterson,New Jersey,51612,18611,4652,14014,14335
Warren,Michigan,57632,21464,3659,9669,22840
Lee's Summit,Missouri,37795,22741,1179,4678,9197
Gastonia,North Carolina,33292,11572,1614,6026,14080
Minneapolis,Minnesota,188681,54302,10413,12142,111824
East Orange,New Jersey,28318,6256,1773,7868,12421
Westland,Michigan,37870,12644,1984,4716,18526
Elizabeth,New Jersey,46107,17445,3261,11576,13825
"Cary town, North Carolina",,65254,40597,1117,5982,17558
Fargo,North Dakota,58269,20156,3399,5225,29489
St. Cloud,Minnesota,30029,10231,2277,3542,13979
Las Cruces,New Mexico,45991,15576,4352,6281,19782
Springfield,Missouri,79232,25992,2475,9428,41337
Wyoming,Michigan,28253,12144,1891,3588,10630
St. Paul,Minnesota,121964,42475,5916,16617,56956
Charlotte,North Carolina,365269,138177,15928,50820,160344
Buffalo,New York,122569,30740,6047,24063,61719
Rochester Hills,Michigan,28831,17375,1041,1436,8979
Woodbury,Minnesota,28751,16144,1327,3557,7723
Omaha,Nebraska,201469,82557,9678,23280,85954
Concord,North Carolina,33859,19732,1173,4798,8156
Bayonne,New Jersey,28375,11599,1544,4343,10889
Albany,New York,44279,9501,525,6268,27985
Bismarck,North Dakota,31426,12521,1901,2110,14894
Jacksonville,North Carolina,22024,11536,419,2374,7695
Albuquerque,New Mexico,243582,90712,13073,35324,104473
Greensboro,North Carolina,123955,42606,4269,21809,55271
Greenville,North Carolina,41575,7924,2392,5737,25522
Independence,Missouri,53057,22677,2267,7336,20777
Asheville,North Carolina,38131,14947,515,3178,19491
Newark,New Jersey,115145,32002,10100,28799,44244
High Point,North Carolina,42738,18508,1732,7726,14772
Southfield,Michigan,35649,9913,1161,7981,16594
Durham,North Carolina,122412,46077,4697,15694,55944
Kansas City,Missouri,219020,82939,8290,28102,99689
"Cheektowaga CDP, New York",,33247,13954,1668,3917,13708
Sterling Heights,Michigan,51805,27748,3610,6104,14343
Camden,New Jersey,24276,4405,1715,9911,8245
Akron,Ohio,84914,23288,4823,15286,41517
Plymouth,Minnesota,32923,17451,730,3459,11283
Jersey City,New Jersey,119158,46483,4436,16041,52198
St. Charles,Missouri,29992,13944,1162,3484,11402
Clifton,New Jersey,32408,16517,2110,4183,9598
Troy,Michigan,33822,20344,1155,2801,9522
Fayetteville,North Carolina,83147,32098,3261,13124,34664
St. Joseph,Missouri,29750,11048,1220,3963,13519
Manchester,New Hampshire,48649,18444,3537,4766,21902
"Lakewood CDP, New Jersey",,13701,9874,1343,284,2200
Coral Springs,Florida,44417,24264,3307,7014,9832
Bridgeport,Connecticut,57732,19326,2829,12157,23420
"Davie town, Florida",,39061,20227,1843,4902,12089
Daytona Beach,Florida,34721,9594,2003,4253,18871
Deerfield Beach,Florida,39934,13785,1719,5079,19351
Delray Beach,Florida,30472,10088,1208,2933,16243
Deltona,Florida,35384,19067,2135,4526,9656
Doral,Florida,25419,15251,1611,3834,4723
Fort Lauderdale,Florida,83021,28707,3481,8696,42137
Fort Myers,Florida,37323,14600,1482,6318,14923
Washington,District of Columbia,319565,77478,9856,41399,190832
"Anchorage municipality, Alaska",,109584,50474,6301,11808,41001
"Alafaya CDP, Florida",,32823,16579,1053,4389,10802
Boca Raton,Florida,41318,18619,1543,3986,17170
Boynton Beach,Florida,33201,12406,1755,4501,14539
"Brandon CDP, Florida",,46925,19393,3169,7011,17352
Cape Coral,Florida,79845,42692,3704,7783,25666
Clearwater,Florida,49486,19293,2010,5444,22739
Charleston,South Carolina,63391,26070,3088,5121,29112
Schenectady,New York,28965,9125,1838,4084,13918
Arlington,Texas,146888,66405,7943,24638,47902
Rock Hill,South Carolina,29268,11242,1249,5643,11134
Reading,Pennsylvania,32504,7974,2974,9081,12475
Lubbock,Texas,104426,41322,5536,14963,42605
Sammamish,Washington,22090,17840,184,1219,2847
Kenosha,Wisconsin,38438,17872,2333,5048,13185
Pearland,Texas,43012,25177,1449,5423,10963
Racine,Wisconsin,30885,8965,1801,7624,12495
Cleveland,Ohio,171321,32839,7949,35703,94830
Eugene,Oregon,74740,27478,2934,7485,36843
Medford,Oregon,36525,14082,2491,3739,16213
Raleigh,North Carolina,194917,76512,6486,24247,87672
Greenville,South Carolina,34154,11179,353,5060,17562
"Atascocita CDP, Texas",,29579,18281,486,3350,7462
Carrollton,Texas,50308,27199,2597,5616,14896
Sioux Falls,South Dakota,83498,38329,4475,7739,32955
Provo,Utah,32518,19055,1438,2054,9971
Denton,Texas,57963,25728,1382,4889,25964
"Carolina zona urbana, Puerto Rico",,54012,14309,3224,15768,20711
Richmond,Virginia,99929,22084,5155,13848,58842
Roanoke,Virginia,42455,12843,2487,5951,21174
Seattle,Washington,351650,125943,8958,19860,196889
McAllen,Texas,48438,25533,1783,9427,11695
