City,State,% Age Over 19
Abilene,Texas,0.7276639182467262
Akron,Ohio,0.7704920608844096
Albany,Georgia,0.7291995154730566
Albany-Lebanon,Oregon,0.7567911028273477
Albany-Schenectady-Troy,New York,0.7769185776271398
Albuquerque,New Mexico,0.761592317635874
Alexandria,Louisiana,0.7353502551527603
"Allentown-Bethlehem-Easton, P",New Jersey,0.764052189388774
Altoona,Pennsylvania,0.7714487504824789
Amarillo,Texas,0.719776939818986
Ames,Iowa,0.755980823328975
Anchorage,Alaska,0.7323743063687448
Ann Arbor,Michigan,0.7612090202766724
Anniston-Oxford,Alabama,0.7549063567067913
Appleton,Wisconsin,0.7453827370905098
Asheville,North Carolina,0.7993970457783678
Athens-Clarke County,Georgia,0.7477991724796679
Atlanta-Sandy Springs-Alpharetta,Georgia,0.7363755177773619
Atlantic City-Hammonton,New Jersey,0.7662110951899508
Auburn-Opelika,Alabama,0.7448001895969936
"Augusta-Richmond County, G",South Carolina,0.746087642649444
Austin-Round Rock-Georgetown,Texas,0.7514803866306528
Bakersfield,California,0.6850010842642205
Baltimore-Columbia-Towson,Maryland,0.7559988683474456
Bangor,Maine,0.7876084181586096
Barnstable Town,Massachusetts,0.8378217898464358
Baton Rouge,Louisiana,0.738893572120816
Battle Creek,Michigan,0.7471734208146825
Bay City,Michigan,0.7832985386221294
Beaumont-Port Arthur,Texas,0.7292517557325268
Beckley,West Virginia,0.7697496877693539
Bellingham,Washington,0.7788586336641452
Bend,Oregon,0.7878330672213515
Billings,Montana,0.7510171784192432
Binghamton,New York,0.7666666666666667
Birmingham-Hoover,Alabama,0.7479147633141936
Bismarck,North Dakota,0.7374513640387749
Blacksburg-Christiansburg,Virginia,0.7697845643796168
Bloomington,Illinois,0.7387778031353686
Bloomington,Indiana,0.7689203513491734
Bloomsburg-Berwick,Pennsylvania,0.7752865873503779
Boise City,Idaho,0.7355507828807396
"Boston-Cambridge-Newton, M",New Hampshire,0.7760579126404203
Boulder,Colorado,0.7749307374151476
Bowling Green,Kentucky,0.7336988071897215
Bremerton-Silverdale-Port Orchard,Washington,0.7809335287298498
