Rank,Beer,# of Ratings,Avg. Rating
1,Kentucky Brunch Brand Stout Toppling Goliath Brewing Company American Imperial Stout | 12.00%,911,4.83
2,Vanilla Bean Assassin Toppling Goliath Brewing Company American Imperial Stout | 12.80%,135,4.8
3,Marshmallow Handjee 3 Floyds Brewing Co. Russian Imperial Stout | 15.00%,1798,4.73
4,Abraxas - Barrel-Aged Perennial Artisan Ales American Imperial Stout | 11.00%,1661,4.73
5,Hunahpu's Imperial Stout - Double Barrel Aged Cigar City Brewing American Imperial Stout | 11.00%,1663,4.72
6,Heady Topper The Alchemist Imperial IPA | 8.00%,15177,4.71
7,Blessed Anchorage Brewing Company American Imperial Stout | 15.50%,260,4.73
8,Mornin' Delight Toppling Goliath Brewing Company American Imperial Stout | 12.80%,1747,4.7
9,King Julius Tree House Brewing Company New England IPA | 8.20%,1571,4.7
10,King JJJuliusss Tree House Brewing Company New England IPA | 8.40%,904,4.7
11,Zenne Y Frontera Brouwerij 3 Fonteinen Lambic | 7.00%,393,4.71
12,Pliny The Younger Russian River Brewing Company Imperial IPA | 10.25%,3530,4.69
13,A Deal With The Devil - Triple Oak-Aged Anchorage Brewing Company American Barleywine | 17.00%,129,4.74
14,Barrel Aged Imperial German Chocolate Cupcake Stout Angry Chair Brewing American Imperial Stout | 11.00%,364,4.7
15,Fundamental Observation Bottle Logic Brewing American Imperial Stout | 13.00%,1537,4.68
16,Very Hazy Tree House Brewing Company New England IPA | 8.60%,1309,4.68
17,Bourbon County Brand Coffee Stout Goose Island Beer Co. American Imperial Stout | 13.20%,7529,4.67
18,A Deal With The Devil - Double Oak-Aged Anchorage Brewing Company American Barleywine | 17.00%,223,4.7
19,Oude Fermier Side Project Brewing Saison | 7.00%,127,4.72
20,V.S.O.J. Revolution Brewing English Barleywine | 14.00%,315,4.68
21,Very GGGreennn Tree House Brewing Company New England IPA | 8.30%,447,4.67
22,Clover Hill Farmstead Brewery Saison | 6.50%,205,4.69
23,Anabasis Side Project Brewing American Barleywine | 14.00%,267,4.68
24,It Was All A Dream J. Wakefield Brewing American Imperial Stout | 17.00%,197,4.69
25,Chemtrailmix - Rye Barrel 3 Floyds Brewing Co. Russian Imperial Stout | 15.00%,258,4.68
26,Beer:Barrel:Time (Rye 2022) Side Project Brewing American Imperial Stout | 15.00%,47,4.8
27,Julius Tree House Brewing Company New England IPA | 6.80%,5029,4.65
28,Fou' Foune Brasserie Cantillon Fruit Lambic | 5.50%,3221,4.65
29,Very Green Tree House Brewing Company New England IPA | 8.60%,1644,4.65
30,Assassin Toppling Goliath Brewing Company American Imperial Stout | 12.00%,1495,4.65
31,Juice Machine Tree House Brewing Company New England IPA | 8.20%,1319,4.65
32,O.W.K. Side Project Brewing American Imperial Stout | 15.00%,32,4.88
33,Westly Sante Adairius Rustic Ales Saison | 8.50%,438,4.66
34,Monster Tones Modern Times Beer American Imperial Stout | 13.00%,96,4.72
35,Pliny The Elder Russian River Brewing Company Imperial IPA | 8.00%,15621,4.64
36,CBS (Canadian Breakfast Stout) Founders Brewing Company American Imperial Stout | 11.30%,6744,4.64
37,Abner Hill Farmstead Brewery New England IPA | 8.20%,2888,4.63
38,Double Sunshine Lawson's Finest Liquids Imperial IPA | 8.00%,2663,4.63
39,Framboise Du Fermier Side Project Brewing Saison | 8.00%,321,4.65
40,JJJuliusss! Tree House Brewing Company New England IPA | 6.80%,1081,4.63
41,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged AleSmith Brewing Company American Imperial Stout | 14.20%,1041,4.63
42,Samuel Hill Farmstead Brewery Saison | 6.00%,103,4.69
43,Dinner Maine Beer Company Imperial IPA | 8.20%,2738,4.62
44,Duck Duck Gooze The Lost Abbey Gueuze | 7.00%,1981,4.62
45,Lou Pepe - Kriek Brasserie Cantillon Fruit Lambic | 5.00%,1873,4.62
46,Morning Wood Funky Buddha Brewery Imperial Porter | 12.00%,1246,4.62
47,The Adjunct Trail - Bourbon Barrel-Aged Angry Chair Brewing American Imperial Stout | 11.00%,83,4.7
48,Parabola Firestone Walker Brewing Co. Russian Imperial Stout | 13.00%,7195,4.61
49,Trappist Westvleteren 12 (XII) Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Quadrupel (Quad) | 10.20%,6817,4.61
50,Double Citra® Hill Farmstead Brewery New England IPA | 8.00%,2098,4.61
51,Doubleganger Tree House Brewing Company New England IPA | 8.20%,1223,4.61
52,Maman Perennial Artisan Ales American Imperial Stout | 11.50%,452,4.62
53,Ann Hill Farmstead Brewery Saison | 6.50%,446,4.62
54,Fuzzy Side Project Brewing Wild Ale | 8.00%,1022,4.61
55,Nectarine Premiere de Garde Brewing Saison | 7.10%,407,4.62
56,Very HHHazyyy Tree House Brewing Company New England IPA | 8.80%,248,4.63
57,Aaron Hill Farmstead Brewery English Barleywine | 9.00%,683,4.61
58,KBS Founders Brewing Company American Imperial Stout | 12.00%,14114,4.6
59,Bourbon County Brand Stout Goose Island Beer Co. American Imperial Stout | 14.30%,13371,4.6
60,Ghost In The Machine - Double Dry-Hopped Parish Brewing Company New England IPA | 8.50%,394,4.61
61,Headroom Trillium Brewing Company New England IPA | 8.00%,792,4.6
62,Atrial Rubicite Jester King Brewery Wild Ale | 5.80%,2011,4.59
63,Double Galaxy Hill Farmstead Brewery New England IPA | 8.00%,1682,4.59
64,Double Dry Hopped Congress Street Trillium Brewing Company New England IPA | 7.20%,1641,4.59
65,Coconut Vibes Shared Brewing Russian Imperial Stout | 13.00%,202,4.62
66,Flora Plum Hill Farmstead Brewery Saison | 5.00%,386,4.6
67,King Sue Toppling Goliath Brewing Company New England IPA | 7.80%,3460,4.58
68,Double Barrel V.S.O.J. Revolution Brewing English Barleywine | 16.80%,45,4.73
69,Society & Solitude #4 Hill Farmstead Brewery New England IPA | 8.00%,1442,4.58
70,Lou Pepe - Framboise Brasserie Cantillon Fruit Lambic | 5.50%,1432,4.58
71,Abricot Du Fermier Side Project Brewing Saison | 8.00%,446,4.59
