City,State,Total Estimate,Married Households,Male Unmarried Household,Female Unmarried Household,Nonfamily Household
Auburn,Alabama,29136,13886,1034,2484,11732
Birmingham,Alabama,87570,18910,4355,19476,44829
Dothan,Alabama,30301,11998,1208,5818,11277
Hoover,Alabama,36721,21668,1488,2059,11506
Huntsville,Alabama,96551,39641,4259,10487,42164
Mobile,Alabama,77991,25936,2637,14782,34636
Montgomery,Alabama,81529,25255,4010,20039,32225
Tuscaloosa,Alabama,39266,12913,2340,6699,17314
Avondale,Arizona,26611,14222,1455,5517,5417
Buckeye,Arizona,30913,20801,712,2919,6481
Chandler,Arizona,107668,56545,5248,11816,34059
Flagstaff,Arizona,29435,11694,490,2382,14869
Gilbert,Arizona,93472,58463,4349,8582,22078
Glendale,Arizona,90604,43398,5687,12651,28868
Goodyear,Arizona,33130,22405,1337,3088,6300
Mesa,Arizona,199112,91903,11509,23284,72416
Peoria,Arizona,75479,40367,3194,8017,23901
Phoenix,Arizona,602039,250761,46825,87436,217017
Queen Creek,Arizona,20981,15375,976,2215,2415
Scottsdale,Arizona,119122,54186,3495,8026,53415
Surprise,Arizona,55339,31774,3910,6489,13166
Tempe,Arizona,77306,22633,4696,7442,42535
Tucson,Arizona,223068,78652,15018,32826,96572
Yuma,Arizona,36530,17026,2393,7518,9593
Conway,Arkansas,25251,10439,1113,3372,10327
Fayetteville,Arkansas,40104,14451,2553,3891,19209
Fort Smith,Arkansas,36390,15128,2352,5902,13008
Jonesboro,Arkansas,30432,13532,1600,4659,10641
Little Rock,Arkansas,89422,34012,3777,14994,36639
Rogers,Arkansas,25872,14733,1525,3413,6201
Springdale,Arkansas,28942,13311,2158,4166,9307
Alameda,California,30281,14284,935,3352,11710
Alhambra,California,29022,13577,2397,4473,8575
Anaheim,California,105608,53178,8273,15078,29079
Antioch,California,37081,19565,2101,6798,8617
Apple Valley,California,24657,13364,1459,2794,7040
Bakersfield,California,128007,63261,10069,19695,34982
Baldwin Park,California,19112,9302,2516,4054,3240
Bellflower,California,24327,10687,2772,4817,6051
Berkeley,California,43893,14459,1596,2822,25016
Buena Park,California,24306,13674,2018,4185,4429
Burbank,California,44471,18207,2957,3923,19384
Camarillo,California,27588,14270,1087,2351,9880
Carlsbad,California,48098,24244,1622,4432,17800
Carson,California,25743,12616,2868,4633,5626
Chico,California,40956,14214,2747,5159,18836
Chino,California,26774,16353,1765,3624,5032
Chino Hills,California,25703,18233,1793,1949,3728
Chula Vista,California,83451,46401,6379,13911,16760
Citrus Heights,California,34140,14925,1415,3911,13889
Clovis,California,38762,23207,2983,3648,8924
Compton,California,28820,10546,3216,6544,8514
Concord,California,46375,22391,2342,6251,15391
Corona,California,48905,29396,2580,6691,10238
Costa Mesa,California,43711,17706,2612,5415,17978
Daly City,California,32887,16078,2518,4175,10116
Davis,California,25316,9598,440,1777,13501
Downey,California,36008,17454,3278,6490,8786
Dublin,California,23688,16087,672,2085,4844
Eastvale,California,18470,14045,614,2081,1730
El Cajon,California,34443,13592,2091,8492,10268
El Monte,California,29036,12708,3936,6930,5462
Elk Grove,California,53724,35228,3460,5241,9795
Escondido,California,50171,25959,3040,6071,15101
Fairfield,California,38097,18500,3242,6199,10156
Folsom,California,28441,16928,1176,1886,8451
Fontana,California,57836,32830,6236,10185,8585
Fremont,California,75716,50066,2542,6013,17095
Fresno,California,181841,72467,15454,32156,61764
Fullerton,California,48423,24840,3707,4944,14932
Garden Grove,California,48769,24192,4117,8556,11904
Glendale,California,70831,35661,4292,8186,22692
Hawthorne,California,30039,10541,2465,6421,10612
Hayward,California,48619,24986,3192,7162,13279
Hemet,California,33486,13424,3258,5970,10834
Hesperia,California,29237,15925,2856,4324,6132
Huntington Beach,California,79930,39028,3877,7997,29028
Indio,California,34673,16811,2804,2999,12059
Inglewood,California,37972,11316,4410,7735,14511
Irvine,California,111648,58004,2786,9575,41283
Jurupa Valley,California,27454,13848,3019,5172,5415
Lake Elsinore,California,21422,11956,1085,4041,4340
Lake Forest,California,30962,18073,1467,2862,8560
Lakewood,California,26533,15455,1335,3050,6693
Lancaster,California,51333,21300,3617,11575,14841
Livermore,California,31472,18277,1731,2855,8609
Lodi,California,24245,12530,1243,2715,7757
Long Beach,California,172599,62335,11595,26074,72595
Los Angeles,California,1410594,527979,102884,196583,583148
Lynwood,California,16079,7156,2267,3865,2791
Madera,California,18595,7043,2658,4300,4594
Manteca,California,27310,14910,2340,3729,6331
Menifee,California,35601,18524,2519,3920,10638
Merced,California,28358,10599,1640,8097,8022
Milpitas,California,23632,15294,1728,1435,5175
Mission Viejo,California,34168,22406,1463,1952,8347
Modesto,California,71775,32940,5492,13082,20261
Moreno Valley,California,54104,28546,4998,11913,8647
Mountain View,California,34637,15204,1398,2134,15901
Murrieta,California,34414,21247,2887,3725,6555
Napa,California,30418,15303,2590,2203,10322
Newport Beach,California,39131,18878,1156,2720,16377
Norwalk,California,26506,15970,2273,3454,4809
Oakland,California,170366,61924,9377,22761,76304
Oceanside,California,59683,29686,3865,6354,19778
Ontario,California,55819,27703,5768,10000,12348
Orange,California,43291,21165,3367,7155,11604
Oxnard,California,50611,26470,4743,9210,10188
Palmdale,California,46650,26479,4158,8043,7970
Palo Alto,California,24501,14909,910,1563,7119
Pasadena,California,56992,22166,2943,5146,26737
Perris,California,19923,12295,2269,2875,2484
Pittsburg,California,23827,11314,3046,3986,5481
Pleasanton,California,29330,18144,1463,2454,7269
Pomona,California,40142,19506,3769,7684,9183
Rancho Cordova,California,28428,13988,2493,2707,9240
Rancho Cucamonga,California,57290,30558,3933,8184,14615
Redding,California,37302,13663,1789,5030,16820
Redlands,California,24452,11253,1951,3020,8228
Redondo Beach,California,26986,14295,757,2704,9230
Redwood City,California,29450,16559,1212,2160,9519
Rialto,California,29043,15432,2583,5288,5740
Richmond,California,40019,17365,2207,9111,11336
Riverside,California,91110,44087,6614,15867,24542
Rocklin,California,25528,15256,1467,2131,6674
Roseville,California,57569,32573,2456,5440,17100
Sacramento,California,202093,79620,11912,24671,85890
Salinas,California,41871,19645,5950,8421,7855
San Bernardino,California,63331,28003,5986,12555,16787
San Buenaventura (Ventura),California,42288,21037,2017,4445,14789
San Diego,California,521000,227133,23811,53380,216676
San Francisco,California,350796,131149,11447,27691,180509
San Jose,California,322881,169225,18880,41770,93006
San Leandro,California,30977,13537,2167,4339,10934
San Marcos,California,34037,19094,939,4878,9126
San Mateo,California,39340,19247,1532,3755,14806
San Ramon,California,29662,19693,1532,2296,6141
Santa Ana,California,78674,44766,6716,12582,14610
Santa Barbara,California,35676,13720,1263,3664,17029
Santa Clara,California,49011,24688,2277,3640,18406
Santa Clarita,California,73509,42155,4744,9014,17596
Santa Maria,California,30316,14493,2761,5059,8003
Santa Monica,California,45541,13986,1129,3467,26959
Santa Rosa,California,68686,30813,3602,8844,25427
Simi Valley,California,45308,24458,2184,4284,14382
South Gate,California,24891,10981,4256,5320,4334
Stockton,California,97447,40148,11872,18847,26580
Sunnyvale,California,59567,31773,2908,4069,20817
Temecula,California,34958,22216,2301,4342,6099
Thousand Oaks,California,45081,25065,1554,4253,14209
Torrance,California,57584,30549,2592,4898,19545
Tracy,California,28353,19459,1115,3052,4727
Tulare,California,20974,10626,1772,3799,4777
Turlock,California,24885,12782,1282,3963,6858
Tustin,California,26762,13404,2180,4517,6661
Union City,California,21637,13926,1455,1710,4546
Upland,California,26052,13106,2228,4673,6045
Vacaville,California,33777,19059,1766,4211,8741
Vallejo,California,43906,18320,2832,7832,14922
Victorville,California,38400,17288,3526,9833,7753
Visalia,California,47660,22228,4139,7861,13432
Vista,California,30614,14312,2238,4280,9784
Walnut Creek,California,31035,15529,1193,1525,12788
West Covina,California,32012,17263,2753,6368,5628
Westminster,California,27935,15346,2043,4509,6037
Whittier,California,27773,14818,2065,4039,6851
Yorba Linda,California,24098,15656,752,1833,5857
Yuba City,California,24176,10785,1838,3872,7681
Arvada,Colorado,50678,26852,2095,4080,17651
Aurora,Colorado,140003,61003,9039,18973,50988
Boulder,Colorado,42376,14327,1854,2310,23885
Broomfield,Colorado,30161,15289,1224,3280,10368
Castle Rock,Colorado,27249,17893,994,1841,6521
Centennial,Colorado,39660,23348,2035,4370,9907
Colorado Springs,Colorado,197542,93510,11165,21639,71228
Denver,Colorado,326634,110495,11519,30913,173707
Fort Collins,Colorado,70686,28945,1314,5402,35025
Grand Junction,Colorado,28352,11626,886,2846,12994
Greeley,Colorado,38381,18989,2424,5047,11921
Lakewood,Colorado,70751,28813,2993,6596,32349
Longmont,Colorado,43519,17733,2727,3679,19380
Loveland,Colorado,35803,17488,1451,2486,14378
Pueblo,Colorado,47901,16294,3385,7768,20454
Thornton,Colorado,48263,27013,2854,5176,13220
Westminster,Colorado,47797,21342,1973,5353,19129
Bridgeport,Connecticut,57732,19326,2829,12157,23420
Danbury,Connecticut,33024,15130,954,3434,13506
Hartford,Connecticut,45491,10118,4437,12816,18120
New Britain,Connecticut,28450,8372,1222,7274,11582
New Haven,Connecticut,56373,12539,3208,12070,28556
Norwalk,Connecticut,36847,16911,935,4191,14810
Stamford,Connecticut,52816,22802,2677,6705,20632
Waterbury,Connecticut,45008,13903,3126,11594,16385
Wilmington,Delaware,32049,7998,1743,5399,16909
Washington,District of Columbia,319565,77478,9856,41399,190832
Boca Raton,Florida,41318,18619,1543,3986,17170
Boynton Beach,Florida,33201,12406,1755,4501,14539
Cape Coral,Florida,79845,42692,3704,7783,25666
Clearwater,Florida,49486,19293,2010,5444,22739
Coral Springs,Florida,44417,24264,3307,7014,9832
Davie,Florida,39061,20227,1843,4902,12089
Daytona Beach,Florida,34721,9594,2003,4253,18871
Deerfield Beach,Florida,39934,13785,1719,5079,19351
Delray Beach,Florida,30472,10088,1208,2933,16243
Deltona,Florida,35384,19067,2135,4526,9656
Doral,Florida,25419,15251,1611,3834,4723
Fort Lauderdale,Florida,83021,28707,3481,8696,42137
Fort Myers,Florida,37323,14600,1482,6318,14923
Gainesville,Florida,56513,14120,2132,4996,35265
Hialeah,Florida,75692,31699,6780,17564,19649
Hollywood,Florida,61598,27103,4150,5900,24445
Homestead,Florida,27094,10243,3427,5235,8189
Jacksonville,Florida,386283,153176,19096,60664,153347
Kissimmee,Florida,25999,10911,1174,7318,6596
Lakeland,Florida,45548,19136,2125,6847,17440
Largo,Florida,36493,12988,1013,4583,17909
Lauderhill,Florida,26555,8662,1653,7498,8742
Melbourne,Florida,36651,13954,1450,4484,16763
Miami,Florida,192219,60227,11493,26622,93877
Miami Beach,Florida,40788,12924,1329,2373,24162
Miami Gardens,Florida,34332,14665,2730,8159,8778
Miramar,Florida,42707,20253,3286,8349,10819
North Port,Florida,30622,17447,1410,3483,8282
Orlando,Florida,130037,43190,7781,19289,59777
Palm Bay,Florida,45145,19108,3900,8728,13409
Palm Coast,Florida,36896,21399,1833,3932,9732
Pembroke Pines,Florida,64378,29890,4585,7921,21982
Plantation,Florida,36564,16454,2041,5377,12692
Pompano Beach,Florida,48363,15465,3707,6489,22702
Port St. Lucie,Florida,77190,42349,3450,10753,20638
St. Petersburg,Florida,111349,40160,4575,11642,54972
Sunrise,Florida,35166,15226,2215,6902,10823
Tallahassee,Florida,84920,23166,4690,10525,46539
Tamarac,Florida,29065,12914,1485,3936,10730
Tampa,Florida,159925,58334,7525,19233,74833
West Palm Beach,Florida,50409,16451,3950,6822,23186
Weston,Florida,20227,13783,874,3322,2248
Albany,Georgia,27357,6717,1183,6765,12692
Alpharetta,Georgia,25457,15296,471,2564,7126
Atlanta,Georgia,232720,59679,6976,27772,138293
Columbus,Georgia,82663,28931,5108,17623,31001
Johns Creek,Georgia,29256,20646,1031,1878,5701
Roswell,Georgia,37044,20257,1128,3297,12362
Sandy Springs,Georgia,52487,22234,765,4883,24605
Savannah,Georgia,59612,18753,3305,11438,26116
South Fulton,Georgia,41405,14445,2507,9951,14502
Warner Robins,Georgia,30701,11511,3642,5460,10088
Boise City,Idaho,99250,46063,4012,8786,40389
Idaho Falls,Idaho,24257,11784,863,2476,9134
Meridian,Idaho,47825,29406,1666,2284,14469
Nampa,Idaho,37666,20593,2080,3822,11171
Aurora,Illinois,62379,31588,4865,10235,15691
Bloomington,Illinois,33803,13914,358,3169,16362
Champaign,Illinois,37423,11605,575,5537,19706
Chicago,Illinois,1139537,364420,54991,160864,559262
Cicero,Illinois,24737,10754,2479,4794,6710
Decatur,Illinois,32087,11181,1180,4258,15468
Elgin,Illinois,40585,21944,3153,4172,11316
Evanston,Illinois,31157,13301,745,3029,14082
Joliet,Illinois,51263,23860,3507,7642,16254
Naperville,Illinois,54377,33710,2005,4518,14144
Peoria,Illinois,50176,17998,2141,7470,22567
Rockford,Illinois,59909,20618,3905,9477,25909
Springfield,Illinois,51317,16767,2619,6585,25346
Waukegan,Illinois,30068,12692,2890,4736,9750
Bloomington,Indiana,31711,7743,1082,2255,20631
Carmel,Indiana,39994,24936,663,1468,12927
Evansville,Indiana,53896,17127,2945,7715,26109
Fishers,Indiana,35466,25108,1317,1268,7773
Fort Wayne,Indiana,109640,44338,5186,15174,44942
Hammond,Indiana,30737,10808,2566,6111,11252
Lafayette,Indiana,31585,11724,1349,3848,14664
Noblesville,Indiana,25035,14223,1977,3652,5183
South Bend,Indiana,42707,15276,2624,6520,18287
Ames,Iowa,25901,7954,127,1248,16572
Ankeny,Iowa,27720,15605,600,2677,8838
Cedar Rapids,Iowa,59107,23000,3008,6589,26510
Davenport,Iowa,44958,16514,1903,5644,20897
Des Moines,Iowa,90416,33669,5485,10056,41206
Iowa City,Iowa,30270,11384,335,1992,16559
Sioux City,Iowa,33659,15906,2216,4344,11193
Waterloo,Iowa,29948,11794,1305,2919,13930
West Des Moines,Iowa,36066,12613,1365,1789,20299
Kansas City,Kansas,57819,23736,3830,9221,21032
Lawrence,Kansas,41041,13252,1386,3657,22746
Olathe,Kansas,53285,33224,2258,4088,13715
Overland Park,Kansas,82593,42357,3403,5751,31082
Shawnee,Kansas,27114,15132,1166,1978,8838
Topeka,Kansas,55844,19541,2824,6811,26668
Wichita,Kansas,156668,66238,10239,19718,60473
Bowling Green,Kentucky,28947,10212,1721,5029,11985
Baton Rouge,Louisiana,87440,23879,4579,15945,43037
Kenner,Louisiana,25267,11096,1671,3343,9157
Lafayette,Louisiana,51150,18401,1783,7639,23327
Lake Charles,Louisiana,28683,12354,1082,4374,10873
New Orleans,Louisiana,158827,43314,5970,25112,84431
Shreveport,Louisiana,76167,24679,5000,15634,30854
Portland,Maine,32523,10741,780,2778,18224
Baltimore,Maryland,254370,60779,11168,50653,131770
Frederick,Maryland,33907,14042,1782,4470,13613
Gaithersburg,Maryland,26764,12514,1265,2712,10273
Rockville,Maryland,25537,13865,1208,1976,8488
Boston,Massachusetts,271941,74624,10437,36475,150405
Brockton,Massachusetts,37554,13197,3662,9582,11113
Cambridge,Massachusetts,52487,15526,540,2926,33495
Fall River,Massachusetts,40521,14014,2846,8141,15520
Framingham,Massachusetts,26320,14433,1389,2075,8423
Haverhill,Massachusetts,25293,11444,1575,4429,7845
Lawrence,Massachusetts,30366,9159,3128,9597,8482
Lowell,Massachusetts,42577,15209,3486,7368,16514
Lynn,Massachusetts,37304,13763,3472,7031,13038
Malden,Massachusetts,26386,11044,1552,3068,10722
New Bedford,Massachusetts,42743,13537,4046,6692,18468
Newton,Massachusetts,29961,19475,710,1831,7945
Quincy,Massachusetts,44051,16814,2748,3910,20579
Somerville,Massachusetts,35015,11337,1132,2274,20272
Springfield,Massachusetts,57806,16400,3457,15858,22091
Worcester,Massachusetts,76065,28794,3921,12307,31043
Ann Arbor,Michigan,51238,17042,957,3923,29316
Dearborn,Michigan,35209,18972,1947,4260,10030
Detroit,Michigan,251729,48400,18460,65657,119212
Farmington Hills,Michigan,35224,18554,762,2548,13360
Flint,Michigan,32837,7696,2145,7560,15436
Grand Rapids,Michigan,79486,27450,4060,10971,37005
Kalamazoo,Michigan,29853,6545,1478,3040,18790
Lansing,Michigan,50590,13861,3022,7662,26045
Livonia,Michigan,38329,20833,1154,3219,13123
Novi,Michigan,28217,15761,1071,2657,8728
Rochester Hills,Michigan,28831,17375,1041,1436,8979
Southfield,Michigan,35649,9913,1161,7981,16594
Sterling Heights,Michigan,51805,27748,3610,6104,14343
Troy,Michigan,33822,20344,1155,2801,9522
Warren,Michigan,57632,21464,3659,9669,22840
Westland,Michigan,37870,12644,1984,4716,18526
Wyoming,Michigan,28253,12144,1891,3588,10630
Blaine,Minnesota,25869,14855,1095,2541,7378
Bloomington,Minnesota,38725,16438,1596,4181,16510
Brooklyn Park,Minnesota,30074,13272,1585,4630,10587
Duluth,Minnesota,36310,12930,1180,3530,18670
Eagan,Minnesota,27069,14503,1489,2037,9040
Lakeville,Minnesota,23868,17171,1094,2097,3506
Maple Grove,Minnesota,28026,17283,870,949,8924
Minneapolis,Minnesota,188681,54302,10413,12142,111824
Plymouth,Minnesota,32923,17451,730,3459,11283
Rochester,Minnesota,49984,23578,1498,4250,20658
St. Cloud,Minnesota,30029,10231,2277,3542,13979
St. Paul,Minnesota,121964,42475,5916,16617,56956
Woodbury,Minnesota,28751,16144,1327,3557,7723
Gulfport,Mississippi,29385,9525,2008,5960,11892
Jackson,Mississippi,62140,14723,3998,16591,26828
Columbia,Missouri,50572,19258,1260,4603,25451
Independence,Missouri,53057,22677,2267,7336,20777
Kansas City,Missouri,219020,82939,8290,28102,99689
Lee's Summit,Missouri,37795,22741,1179,4678,9197
O'Fallon,Missouri,34412,20673,1885,3159,8695
Springfield,Missouri,79232,25992,2475,9428,41337
St. Charles,Missouri,29992,13944,1162,3484,11402
St. Joseph,Missouri,29750,11048,1220,3963,13519
St. Louis,Missouri,139736,31536,6151,21260,80789
Billings,Montana,50365,22672,3391,4113,20189
Missoula,Montana,33744,11636,1180,3657,17271
Lincoln,Nebraska,120407,52380,4682,10756,52589
Omaha,Nebraska,201469,82557,9678,23280,85954
Henderson,Nevada,124470,63220,6397,15540,39313
Las Vegas,Nevada,250350,103134,17410,32164,97642
North Las Vegas,Nevada,85966,38546,7861,16156,23403
Reno,Nevada,110993,41687,6780,12299,50227
Sparks,Nevada,43392,18550,4067,4808,15967
Manchester,New Hampshire,48649,18444,3537,4766,21902
Nashua,New Hampshire,36986,16347,2057,4264,14318
Bayonne,New Jersey,28375,11599,1544,4343,10889
Camden,New Jersey,24276,4405,1715,9911,8245
Clifton,New Jersey,32408,16517,2110,4183,9598
East Orange,New Jersey,28318,6256,1773,7868,12421
Elizabeth,New Jersey,46107,17445,3261,11576,13825
Jersey City,New Jersey,119158,46483,4436,16041,52198
Newark,New Jersey,115145,32002,10100,28799,44244
Passaic,New Jersey,20446,7551,822,7018,5055
