SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1/,,,,
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1/,,,,
State or DC,,,,
GeoFips,GeoName,LineCode,Description,2021
0,United States,1,Personal consumption expenditures,15902575.3
0,United States,2,  Goods,5496516
0,United States,3,    Durable goods,2060246.3
0,United States,4,      Motor vehicles and parts,688718.9
0,United States,5,        New motor vehicles,351241.6
0,United States,6,        Net purchases of used motor vehicles,243039.7
0,United States,7,        Motor vehicle parts and accessories,94437.6
0,United States,8,      Furnishings and durable household equipment,495001.7
0,United States,9,        Furniture and furnishings,323636
0,United States,10,        Household appliances,74843.3
0,United States,11,"        Glassware, tableware, and household utensils",53709.5
0,United States,12,        Tools and equipment for house and garden,42812.9
0,United States,13,      Recreational goods and vehicles,603891.4
0,United States,14,"        Video, audio, photographic, and information processing equipment and media",356012.3
0,United States,15,"        Sporting equipment, supplies, guns, and ammunition",120667.5
0,United States,16,        Sports and recreational vehicles,94974.8
0,United States,17,        Recreational books,23988.4
0,United States,18,        Musical instruments,8248.4
0,United States,19,      Other durable goods,272634.3
0,United States,20,        Jewelry and watches,106014.1
0,United States,21,        Therapeutic appliances and equipment,86155.7
0,United States,22,        Educational books,12484.2
0,United States,23,        Luggage and similar personal items,38554.8
0,United States,24,        Telephone and related communication equipment,29425.5
0,United States,25,    Nondurable goods,3436269.7
0,United States,26,      Food and beverages purchased for off-premises consumption,1205033.4
0,United States,27,        Food and nonalcoholic beverages purchased for off-premises consumption,1028209.9
0,United States,28,        Alcoholic beverages purchased for off-premises consumption,176204.9
0,United States,29,        Food produced and consumed on farms,618.6
0,United States,30,      Clothing and footwear,461299.5
0,United States,31,        Garments,355626.8
0,United States,32,          Women's and girls' clothing,211543.1
0,United States,33,          Men's and boys' clothing,122782.5
0,United States,34,          Children's and infants' clothing,21301.3
0,United States,35,        Other clothing materials and footwear,105672.7
0,United States,36,      Gasoline and other energy goods,369437.9
0,United States,37,"        Motor vehicle fuels, lubricants, and fluids",347629.6
0,United States,38,        Fuel oil and other fuels,21808.3
0,United States,39,      Other nondurable goods,1400499
0,United States,40,        Pharmaceutical and other medical products,585090.4
0,United States,41,        Recreational items,236000.5
0,United States,42,        Household supplies,181321.6
0,United States,43,        Personal care products,167070.4
0,United States,44,        Tobacco,107116.7
0,United States,45,"        Magazines, newspapers, and stationery",112799.9
0,United States,46,        Net expenditures abroad by U.S. residents,11099.5
0,United States,47,  Services,10406059.4
0,United States,48,    Household consumption expenditures (for services),9940528.2
0,United States,49,      Housing and utilities,2775433.5
0,United States,50,        Housing,2400811
