State,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Alabama,2018,1.04,0.26,0.69,1.99,246.5185185,51.59689922,143.2603406,424.5333333
Alaska,2018,1.06,0.53,1.25,2.85,251.2592593,105.1782946,259.5296026,608
Arizona,2018,1.08,0.39,0.79,2.25,256,77.39534884,164.0227088,480
Arkansas,2018,0.9,0.23,0.64,1.78,213.3333333,45.64341085,132.8791565,379.7333333
California,2018,1,0.62,0.87,2.49,237.037037,123.0387597,180.6326034,531.2
Colorado,2018,1.14,0.52,1.23,2.88,270.2222222,103.1937984,255.377129,614.4
Connecticut,2018,0.8,0.6,1.01,2.4,189.6296296,119.0697674,209.6999189,512
Delaware,2018,1.11,0.72,1.69,3.52,263.1111111,142.8837209,350.8840227,750.9333333
District of Columbia,2018,1.08,1.02,1.68,3.77,256,202.4186047,348.8077859,804.2666667
Florida,2018,1.05,0.52,1.04,2.61,248.8888889,103.1937984,215.9286294,556.8
Georgia,2018,0.95,0.25,0.7,1.9,225.1851852,49.6124031,145.3365775,405.3333333
Hawaii,2018,1.28,0.59,0.79,2.66,303.4074074,117.0852713,164.0227088,567.4666667
Idaho,2018,0.9,1.21,0.83,2.94,213.3333333,240.124031,172.3276561,627.2
Illinois,2018,1.08,0.45,0.85,2.39,256,89.30232558,176.4801298,509.8666667
Indiana,2018,0.96,0.29,0.9,2.15,227.5555556,57.5503876,186.8613139,458.6666667
Iowa,2018,1.24,0.23,0.92,2.39,293.9259259,45.64341085,191.0137875,509.8666667
Kansas,2018,0.99,0.14,0.79,1.92,234.6666667,27.78294574,164.0227088,409.6
Kentucky,2018,0.93,0.22,0.81,1.95,220.4444444,43.65891473,168.1751825,416
Louisiana,2018,1.23,0.34,0.99,2.55,291.5555556,67.47286822,205.5474453,544
Maine,2018,1.34,0.44,1.07,2.85,317.6296296,87.31782946,222.1573398,608
Maryland,2018,0.78,0.39,0.91,2.08,184.8888889,77.39534884,188.9375507,443.7333333
Massachusetts,2018,0.91,0.63,1,2.55,215.7037037,125.0232558,207.6236821,544
Michigan,2018,1,0.4,0.96,2.36,237.037037,79.37984496,199.3187348,503.4666667
Minnesota,2018,1.14,0.44,1.21,2.79,270.2222222,87.31782946,251.2246553,595.2
Mississippi,2018,1.21,0.18,0.78,2.17,286.8148148,35.72093023,161.946472,462.9333333
Missouri,2018,1.11,0.38,1.02,2.51,263.1111111,75.41085271,211.7761557,535.4666667
Montana,2018,1.6,0.51,0.99,3.1,379.2592593,101.2093023,205.5474453,661.3333333
Nebraska,2018,1.22,0.21,0.73,2.16,289.1851852,41.6744186,151.5652879,460.8
Nevada,2018,1.35,0.6,1.46,3.42,320,119.0697674,303.1305758,729.6
New Hampshire,2018,1.79,0.84,2.04,4.67,424.2962963,166.6976744,423.5523114,996.2666667
New Jersey,2018,0.8,0.57,0.98,2.36,189.6296296,113.1162791,203.4712084,503.4666667
New Mexico,2018,1.07,0.31,0.89,2.26,253.6296296,61.51937984,184.785077,482.1333333
New York,2018,0.88,0.52,0.81,2.21,208.5925926,103.1937984,168.1751825,471.4666667
North Carolina,2018,1.04,0.45,0.68,2.17,246.5185185,89.30232558,141.1841038,462.9333333
North Dakota,2018,1.5,0.34,1.33,3.16,355.5555556,67.47286822,276.1394972,674.1333333
Ohio,2018,1.1,0.31,0.62,2.03,260.7407407,61.51937984,128.7266829,433.0666667
Oklahoma,2018,1,0.2,0.65,1.85,237.037037,39.68992248,134.9553933,394.6666667
Oregon,2018,1.21,0.58,0.95,2.74,286.8148148,115.1007752,197.242498,584.5333333
Pennsylvania,2018,1.29,0.33,0.72,2.34,305.7777778,65.48837209,149.4890511,499.2
Rhode Island,2018,0.9,0.57,1.15,2.63,213.3333333,113.1162791,238.7672344,561.0666667
South Carolina,2018,1.11,0.25,0.8,2.16,263.1111111,49.6124031,166.0989457,460.8
South Dakota,2018,1.37,0.22,0.77,2.37,324.7407407,43.65891473,159.8702352,505.6
Tennessee,2018,0.98,0.32,0.84,2.14,232.2962963,63.50387597,174.4038929,456.5333333
Texas,2018,1.21,0.34,0.71,2.26,286.8148148,67.47286822,147.4128143,482.1333333
Utah,2018,0.58,0.2,0.57,1.35,137.4814815,39.68992248,118.3454988,288
Vermont,2018,1.53,0.78,0.76,3.06,362.6666667,154.7906977,157.7939984,652.8
Virginia,2018,0.94,0.49,0.7,2.13,222.8148148,97.24031008,145.3365775,454.4
Washington,2018,0.91,0.51,0.81,2.22,215.7037037,101.2093023,168.1751825,473.6
West Virginia,2018,1.15,0.11,0.47,1.74,272.5925926,21.82945736,97.58313058,371.2
Wisconsin,2018,1.29,0.39,1.25,2.93,305.7777778,77.39534884,259.5296026,625.0666667
Wyoming,2018,1.22,0.32,1.24,2.78,289.1851852,63.50387597,257.4533658,593.0666667
